pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W)
23.50,false,38.93,60.3,6,TAKES MORE THAN 6 DAYS,46.95,0,163.71,77.96
23.50,true,55.00,50.3,INVALID,TAKES MORE THAN 6 DAYS,10.09,736,116.04,66.77
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,10.06,660,102.37,68.06
25.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,10.07,615,111.08,73.86
23.50,true,40.00,65.8,INVALID,TAKES MORE THAN 6 DAYS,10.00,128,183.05,87.16
23.50,true,40.00,65.8,INVALID,TAKES MORE THAN 6 DAYS,10.00,128,183.05,87.16
23.50,true,40.00,65.8,INVALID,TAKES MORE THAN 6 DAYS,10.00,128,183.05,87.16
23.50,true,40.00,65.8,INVALID,TAKES MORE THAN 6 DAYS,99.86,0,715.20,340.57
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,10.06,659,102.41,68.09
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,10.06,503,98.04,65.19
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,10.06,503,98.04,65.19
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,10.06,497,100.36,66.73
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,11.53,90,209.31,139.17
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,100.00,0,556.79,370.21
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,14.30,135,556.79,370.21
23.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,100.00,0,556.79,370.21
22.50,true,60.00,46.2,INVALID,Day6 15:20~15:25,97.62,0,533.10,354.45
22.50,true,70.00,39.7,INVALID,Day6 9:15~9:20,41.79,40,492.47,344.15
22.50,false,67.58,40.9,6,Day6 10:30~10:35,30.96,0,504.79,349.09
22.50,false,67.85,41.0,6,Day6 10:35~10:40,32.16,0,505.60,349.42